index,0
Afghanistan,-22.61023890767081
Albania,-36.71184626163547
Algeria,-41.16100154708511
Angola,-41.906253577810965
Antigua and Barbuda,-51.20547413825989
Argentina,-35.95597484155121
Armenia,-13.163406046411566
Australia,-61.49450087204963
Austria,-36.99692989730113
Azerbaijan,-13.781386288152344
Bahamas,-51.20547413825989
Bahrain,-27.617595461203404
Bangladesh,-24.445141399234764
Barbados,-51.20547413825989
Belarus,-33.60237939605321
Belgium,-41.8696927080651
Belize,-45.48747389917161
Benin,-42.049200597436126
Bhutan,-20.152142643928528
Bolivia,-41.9599619644793
Bosnia and Herzegovina,-36.19133656353046
Botswana,-42.11247449166728
Brazil,-35.21633993418921
Brunei Darussalam,-40.13471371315975
Bulgaria,-28.193548132113737
Burkina Faso,-7.080828188178135
Burundi,-24.188764490870778
Cabo Verde,-34.36768072862709
Cambodia,-36.03654420408772
Cameroon,-38.656170844806006
Canada,-51.18379791511959
Central African Republic,-33.79390537738801
Chile,-39.42218765543901
China,-46.50988329589915
Colombia,-45.438047658914535
Comoros,-4.516913369297985
Congo Republic,-42.91046801664849
Costa Rica,-46.49613355401021
Cote d'Ivoire,-42.1847317368742
Croatia,-35.045786475294335
Cuba,-42.57139790094372
Cyprus,-25.982580349904943
Czechia,-37.01854743619599
DR Congo,-37.12546841306062
Denmark,-37.52689931580922
Djibouti,-40.570176023433504
Dominica,-49.28766975448317
Dominican Republic,-43.931501302019015
Ecuador,-42.48641359466433
Egypt,-38.364920297889746
El Salvador,-47.69810867282981
Equatorial Guinea,-33.77407998494843
Eritrea,-20.152142643928524
Estonia,-28.584474984006576
Eswatini,-42.03863455404278
Ethiopia,-29.74981118968684
Fiji,-61.32740519653335
Finland,-38.31105425457881
France,-39.241965098284545
French Polynesia,-51.20547413825989
Gabon,-43.1342810571706
Gambia,-35.684494156695884
Georgia,-15.39281803581732
Germany,-39.402547076443305
Ghana,-42.23671873071126
Greece,-30.521919890815642
Grenada,-51.19867823093402
Guatemala,-47.041152636338154
Guinea,-11.41267912094709
Guyana,-50.79625040985356
Haiti,-45.44719388126182
Honduras,-49.972207039948394
Hong Kong,-41.224666867081325
Hungary,-32.470576204889525
Iceland,-39.8184148459401
India,-39.357476256750765
Indonesia,-42.19905100970276
Iran,-38.19981114130368
Iraq,-39.73162432119348
Ireland,-44.08655960054535
Israel,-36.81289855492589
Italy,-36.237331190174935
Jamaica,-49.972343372910494
Japan,-46.58984400878651
Jordan,-41.048812161107136
Kazakhstan,-21.815433546275358
Kenya,-6.927409282850622
Kuwait,-41.20823258055694
Kyrgyz Republic,-35.66091389512085
Laos,-18.83947493050016
Latvia,-16.929937550272854
Lebanon,-31.77534254689943
Lesotho,-42.205628752708435
Liberia,-34.855609052655446
Libya,-32.45845258375999
Lithuania,-31.611395839493888
Luxembourg,-43.826636736438566
Madagascar,-42.205628752708435
Malawi,-3.598328470883387
Malaysia,-39.64368785197374
Maldives,-42.28611886501312
Mali,-11.170416121949243
Malta,-30.257721033560962
Marshall Islands,-32.501327991485596
Mauritania,-37.5128568908118
Mauritius,-42.27565328793367
Mexico,-49.92966903460935
Moldova,0.0
Mongolia,-44.58222365070698
Montenegro,-35.93773445292053
Morocco,-40.643977902746855
Mozambique,-40.99787637142237
Myanmar,-18.803378368452233
Namibia,-42.15557352255533
Nepal,-20.268849790928588
Netherlands,-37.881233204634576
New Caledonia,-39.83941376209259
New Zealand,-48.374028949212345
Nicaragua,-47.256727181322276
Niger,-8.724482600998314
Nigeria,-32.93224614955402
North Macedonia,-36.689777789949005
Norway,-41.64448423423131
Oman,-36.589856575232716
Pakistan,-37.80175677482687
Palestine,-52.58375539997934
Panama,-46.95564485312943
Papua New Guinea,-39.80176124312338
Paraguay,-40.23722942109025
Peru,-41.92548739533184
Philippines,-39.44614802364082
Poland,-33.1116524995184
Portugal,-36.02017736380813
Qatar,-30.682352527583205
Romania,-31.78353092164648
Russia,-39.63371586880514
Rwanda,-13.778839400614912
Sao Tome and Principe,-34.35202435004849
Saudi Arabia,-42.70554857087932
Senegal,-40.81704683807722
Serbia,-35.154368752271345
Seychelles,-23.717556233464038
Sierra Leone,-42.20562875270843
Singapore,-33.896526544605216
Slovakia,-34.602908053385555
Slovenia,0.0
Somalia,-25.77095057156096
South Africa,-37.14965295526404
South Korea,-40.310575515840355
South Sudan,-30.437705373483425
Spain,-37.607307358335554
Sri Lanka,-21.537106781347255
St. Kitts and Nevis,-51.20547413825989
St. Lucia,-51.18120770683138
St. Vincent and the Grenadines,-51.20547413825989
Sudan,-45.08795098257237
Suriname,-46.99031188728425
Sweden,-40.376121645068835
Switzerland,-36.693073363741256
Syria,-34.319325076255666
Taiwan,-42.81487445861299
Tajikistan,-26.49687769496369
Tanzania,-26.48827318186327
Thailand,-40.62708228699055
Timor-Leste,-32.243892550468445
Togo,-42.26434813180201
Trinidad and Tobago,-51.105390102204005
Tunisia,-37.121209469391545
Turkmenistan,-30.417064091258666
Türkiye,-23.838091379123046
Uganda,-4.534779956440457
Ukraine,-30.74087838022867
United Arab Emirates,-40.36118982602452
United Kingdom,-40.56615033677201
United States,-41.69314269603811
Uruguay,-34.894118226887436
Uzbekistan,-21.778906788901327
Venezuela,-45.08719099474656
Vietnam,-39.00633446025782
Yemen,-41.683135921215516
Zambia,-9.062075769264844
Zimbabwe,-33.08894434132742
